"","Symbol","Name","LastSale","MarketCap","Sector","industry"
"3708","PEIX","Pacific Ethanol, Inc.","1.11","$50.75M","Basic Industries","Major Chemicals"
"3709","PMBC","Pacific Mercantile Bancorp","8.2","$179.71M","Finance","Major Banks"
"3710","PPBI","Pacific Premier Bancorp Inc","29.93","$1.87B","Finance","Major Banks"
"3711","PCRX","Pacira Pharmaceuticals, Inc.","42.17","$1.73B","Health Care","Major Pharmaceuticals"
"3712","PACW","PacWest Bancorp","41.05","$5.06B","Finance","Major Banks"
"3713","PTIE","Pain Therapeutics, Inc.","1.2","$20.66M","Health Care","Major Pharmaceuticals"
"3714","PAAS","Pan American Silver Corp.","12.69","$1.95B","Basic Industries","Precious Metals"
"3715","PANL","Pangaea Logistics Solutions Ltd.","3.48","$153.29M","Transportation","Marine Transportation"
"3716","PZZA","Papa John&#39;s International, Inc.","43.32","$1.37B","Consumer Services","Restaurants"
"3717","FRSH","Papa Murphy&#39;s Holdings, Inc.","5.68","$96.72M","Consumer Services","Restaurants"
"3718","PRTK","Paratek Pharmaceuticals, Inc. ","6.6","$213.08M","Health Care","Major Pharmaceuticals"
"3719","TEUM","Pareteum Corporation","3.97","$427.64M","Technology","EDP Services"
