"","Symbol","Name","LastSale","MarketCap","Sector","industry"
"511","COT","Cott Corporation","15.04","$2.04B","Consumer Non-Durables","Beverages (Production/Distribution)"
"512","COTY","Coty Inc.","11.08","$8.32B","Consumer Non-Durables","Package Goods/Cosmetics"
"513","CUZ","Cousins Properties Incorporated","9.38","$3.94B","Consumer Services","Real Estate Investment Trusts"
"514","CVA","Covanta Holding Corporation","17","$2.23B","Basic Industries","Electric Utilities: Central"
"515","CVIA","Covia Holdings Corporation","4.74","$621.82M","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)"
"516","CPF","CPB Inc.","29.08","$842.38M","Finance","Major Banks"
"517","CPL","CPFL Energia S.A.","16.08","$8.18B","Public Utilities","Electric Utilities: Central"
"518","CR","Crane Co.","85.02","$5.05B","Capital Goods","Metal Fabrications"
"519","BAP","Credicorp Ltd.","239.1","$19.07B","Finance","Commercial Banks"
"520","CS","Credit Suisse Group","12.36","$31.55B","Finance","Investment Bankers/Brokers/Service"
"521","CPG","Crescent Point Energy Corporation","3.21","$1.77B","Energy","Oil & Gas Production"
"522","CEQP","Crestwood Equity Partners LP","31.04","$2.21B","Consumer Services","Other Consumer Services"
"523","CRH","CRH PLC","32.11","$26.07B","Capital Goods","Building Materials"
"524","CRT","Cross Timbers Royalty Trust","11.25","$67.5M","Energy","Oil & Gas Production"
"525","CAPL","CrossAmerica Partners LP","17.91","$616.89M","Energy","Oil Refining/Marketing"
"526","CCI","Crown Castle International Corporation","119.23","$49.46B","Consumer Services","Real Estate Investment Trusts"
"527","CCK","Crown Holdings, Inc.","54.5","$7.37B","Consumer Durables","Containers/Packaging"
"528","CRY","CryoLife, Inc.","29.7","$1.1B","Health Care","Medical/Dental Instruments"
"529","CSS","CSS Industries, Inc.","6.97","$61.59M","Consumer Services","Consumer: Greeting Cards"
"530","CTS","CTS Corporation","32.13","$1.06B","Technology","Electrical Products"
"531","CUBE","CubeSmart","30.42","$5.67B","Consumer Services","Real Estate Investment Trusts"
"532","CUB","Cubic Corporation","61.38","$1.91B","Capital Goods","Industrial Machinery/Components"
"533","CFR","Cullen/Frost Bankers, Inc.","104.24","$6.57B","Finance","Major Banks"
"534","CULP","Culp, Inc.","18.66","$233.1M","Basic Industries","Textiles"
"535","CMI","Cummins Inc.","154.41","$24.29B","Energy","Industrial Machinery/Components"
"536","CURO","CURO Group Holdings Corp.","11.48","$528M","Finance","Finance: Consumer Services"
"537","CW","Curtiss-Wright Corporation","122.59","$5.37B","Technology","Industrial Machinery/Components"
"538","CWK","Cushman & Wakefield plc","18.61","$4.02B","Finance","Real Estate"
"539","CUBI","Customers Bancorp, Inc","21.58","$668.37M","Finance","Major Banks"
"540","CVI","CVR Energy Inc.","40.39","$4.06B","Energy","Integrated oil Companies"
"541","UAN","CVR Partners, LP","3.91","$442.94M","Basic Industries","Agricultural Chemicals"
"542","CVS","CVS Health Corporation","58.13","$75.17B","Health Care","Medical/Nursing Services"
"543","CELP","Cypress Energy Partners, L.P.","7.2232","$86.29M","Energy","Oilfield Services/Equipment"
"544","DHI","D.R. Horton, Inc.","38.78","$14.48B","Capital Goods","Homebuilding"
"545","DAN","Dana Incorporated","19.7","$2.82B","Capital Goods","Auto Parts:O.E.M."
"546","DHR","Danaher Corporation","127.77","$89.68B","Capital Goods","Industrial Machinery/Components"
"547","DAC","Danaos Corporation","1.03","$219.72M","Transportation","Marine Transportation"
"548","DQ","DAQO New Energy Corp.","38.67","$497.44M","Technology","Semiconductors"
"549","DRI","Darden Restaurants, Inc.","111.65","$13.79B","Consumer Services","Restaurants"
"550","DAR","Darling Ingredients Inc.","22.07","$3.63B","Consumer Non-Durables","Packaged Foods"
"551","DVA","DaVita Inc.","57.05","$9.49B","Health Care","Hospital/Nursing Management"
"552","DCP","DCP Midstream LP","32.23","$4.62B","Public Utilities","Natural Gas Distribution"
"553","DF","Dean Foods Company","3.93","$359.2M","Consumer Non-Durables","Packaged Foods"
"554","DECK","Deckers Outdoor Corporation","147.87","$4.31B","Consumer Non-Durables","Shoe Manufacturing"
"555","DE","Deere & Company","163.31","$52.24B","Capital Goods","Industrial Machinery/Components"
"556","DKL","Delek Logistics Partners, L.P.","31.53","$769.45M","Energy","Natural Gas Distribution"
"557","DK","Delek US Holdings, Inc.","36.35","$2.84B","Energy","Integrated oil Companies"
"558","DELL","Dell Technologies Inc.","56.65","$40.7B","Technology","Computer Manufacturing"
"559","DLPH","Delphi Technologies PLC","21.96","$1.94B","Capital Goods","Auto Parts:O.E.M."
"560","DAL","Delta Air Lines, Inc.","48.96","$33.24B","Transportation","Air Freight/Delivery Services"
"561","DLX","Deluxe Corporation","46.21","$2.06B","Consumer Durables","Publishing"
"562","DNR","Denbury Resources Inc.","1.93","$888.68M","Energy","Oil & Gas Production"
"563","DESP","Despegar.com, Corp.","17.8","$1.23B","Consumer Services","Transportation Services"
"564","DB","Deutsche Bank AG","9.29","$19.18B","Finance","Major Banks"
"565","DVN","Devon Energy Corporation","30.15","$13.21B","Energy","Oil & Gas Production"
"566","DHX","DHI Group, Inc.","2.69","$143.09M","Miscellaneous","Business Services"
"567","DHT","DHT Holdings, Inc.","4.42","$634.68M","Transportation","Marine Transportation"
"568","DEO","Diageo plc","155.6","$94.04B","Consumer Non-Durables","Beverages (Production/Distribution)"
"569","DO","Diamond Offshore Drilling, Inc.","9.75","$1.34B","Energy","Oil & Gas Production"
"570","DRH","Diamondrock Hospitality Company","10.65","$2.21B","Consumer Services","Real Estate Investment Trusts"
"571","DSX","Diana Shipping inc.","2.61","$270.82M","Transportation","Marine Transportation"
"572","DKS","Dick&#39;s Sporting Goods Inc","39","$3.83B","Consumer Services","Other Specialty Stores"
"573","DBD","Diebold Nixdorf Incorporated","9.18","$698.82M","Miscellaneous","Office Equipment/Supplies/Services"
"574","DLR","Digital Realty Trust, Inc.","114.65","$23.67B","Consumer Services","Real Estate Investment Trusts"
"575","DDS","Dillard&#39;s, Inc.","75.21","$2B","Consumer Services","Department/Specialty Retail Stores"
"576","DIN","Dine Brands Global, Inc.","99","$1.74B","Consumer Services","Restaurants"
"577","DPLO","Diplomat Pharmacy, Inc.","6.26","$466.21M","Health Care","Medical/Nursing Services"
"578","DFS","Discover Financial Services","71.84","$23.59B","Finance","Finance: Consumer Services"
"579","DLB","Dolby Laboratories","64.97","$6.67B","Miscellaneous","Multi-Sector Companies"
"580","DG","Dollar General Corporation","119.5","$31.41B","Consumer Services","Department/Specialty Retail Stores"
"581","D","Dominion Energy, Inc.","74.79","$60.44B","Public Utilities","Electric Utilities: Central"
"582","DPZ","Domino&#39;s Pizza Inc","250.73","$10.29B","Consumer Non-Durables","Food Distributors"
"583","UFS","Domtar Corporation","51.28","$3.33B","Basic Industries","Paper"
"584","DCI","Donaldson Company, Inc.","51.63","$6.6B","Capital Goods","Pollution Control Equipment"
"585","DFIN","Donnelley Financial Solutions, Inc.","14.67","$500.25M","Consumer Services","Other Consumer Services"
"586","LPG","Dorian LPG Ltd.","5.75","$317.27M","Transportation","Marine Transportation"
"587","PLOW","Douglas Dynamics, Inc.","42.76","$970.69M","Capital Goods","Construction/Ag Equipment/Trucks"
"588","DEI","Douglas Emmett, Inc.","38.7","$6.59B","Consumer Services","Real Estate Investment Trusts"
"589","DOV","Dover Corporation","90.98","$13.19B","Technology","Industrial Machinery/Components"
"590","DDE","Dover Downs Gaming & Entertainment Inc","2.72","$90.91M","Consumer Services","Hotels/Resorts"
"591","DVD","Dover Motorsports, Inc.","2.06","$75.5M","Consumer Services","Services-Misc. Amusement & Recreation"
"592","DWDP","DowDuPont Inc.","53.34","$120.27B","Basic Industries","Major Chemicals"
"593","RDY","Dr. Reddy&#39;s Laboratories Ltd","37.69","$6.25B","Health Care","Major Pharmaceuticals"
"594","DRD","DRDGOLD Limited","2.19","$150.47M","Basic Industries","Precious Metals"
"595","DRQ","Dril-Quip, Inc.","42.37","$1.52B","Energy","Metal Fabrications"
"596","DS","Drive Shack Inc.","4.47","$299.61M","Consumer Services","Real Estate Investment Trusts"
"597","DSW","DSW Inc.","29.75","$2.39B","Consumer Services","Clothing/Shoe/Accessory Stores"
"598","DTE","DTE Energy Company","122.9","$22.36B","Public Utilities","Electric Utilities: Central"
"599","DCO","Ducommun Incorporated","46.27","$527.95M","Capital Goods","Military/Government/Technical"
"600","DUK","Duke Energy Corporation","89.53","$65.09B","Public Utilities","Power Generation"
"601","DRE","Duke Realty Corporation","29.45","$10.55B","Consumer Services","Real Estate Investment Trusts"
"602","DXC","DXC Technology Company","67.27","$18.05B","Technology","EDP Services"
"603","DY","Dycom Industries, Inc.","46.87","$1.47B","Basic Industries","Water Supply"
"604","DLNG","Dynagas LNG Partners LP","2.53","$89.79M","Consumer Services","Marine Transportation"
"605","DX","Dynex Capital, Inc.","6.12","$384.44M","Consumer Services","Real Estate Investment Trusts"
"606","ELF","e.l.f. Beauty, Inc.","7.95","$383.63M","Consumer Non-Durables","Package Goods/Cosmetics"
"607","EXP","Eagle Materials Inc","78.41","$3.6B","Capital Goods","Building Materials"
"608","ESTE","Earthstone Energy, Inc.","6.7","$429.55M","Energy","Oil & Gas Production"
"609","DEA","Easterly Government Properties, Inc.","17.53","$1.07B","Consumer Services","Real Estate Investment Trusts"
"610","EGP","EastGroup Properties, Inc.","106.08","$3.87B","Consumer Services","Real Estate Investment Trusts"
"611","EMN","Eastman Chemical Company","83.21","$11.65B","Basic Industries","Major Chemicals"
"612","KODK","Eastman Kodak Company","3.11","$132.88M","Miscellaneous","Industrial Machinery/Components"
"613","ETN","Eaton Corporation, PLC","80.23","$34.77B","Technology","Industrial Machinery/Components"
"614","EV","Eaton Vance Corporation","41.34","$4.83B","Finance","Investment Managers"
"615","ECT","ECA Marcellus Trust I","1.87","$32.92M","Energy","Oil & Gas Production"
"616","ECL","Ecolab Inc.","170.16","$49.15B","Basic Industries","Package Goods/Cosmetics"
"617","EC","Ecopetrol S.A.","20.49","$42.12B","Energy","Oil & Gas Production"
"618","EIX","Edison International","61.31","$19.98B","Public Utilities","Electric Utilities: Central"
"619","EW","Edwards Lifesciences Corporation","173.71","$36.09B","Health Care","Industrial Specialties"
"620","EHIC","eHi Car Services Limited","12.12","$847.9M","Consumer Services","Rental/Leasing Companies"
"621","EE","El Paso Electric Company","57.09","$2.32B","Public Utilities","Electric Utilities: Central"
"622","ELAN","Elanco Animal Health Incorporated","31.03","$11.35B","Health Care","Major Pharmaceuticals"
"623","ESTC","Elastic N.V.","93.16","$6.61B","Technology","Computer Software: Prepackaged Software"
"624","EGO","Eldorado Gold Corporation","4.2","$666.97M","Basic Industries","Precious Metals"
"625","ESI","Element Solutions Inc.","11.3","$3.26B","Basic Industries","Major Chemicals"
"626","ELVT","Elevate Credit, Inc.","4.41","$190.5M","Finance","Finance: Consumer Services"
"627","LLY","Eli Lilly and Company","128.84","$133.4B","Health Care","Major Pharmaceuticals"
"628","ELLI","Ellie Mae, Inc.","99.52","$3.48B","Technology","Computer Software: Prepackaged Software"
"629","EFC","Ellington Financial LLC","16.82","$501.18M","Finance","Real Estate"
"630","EARN","Ellington Residential Mortgage REIT","11.76","$147.08M","Consumer Services","Real Estate Investment Trusts"
"631","ERJ","Embraer S.A.","20.24","$3.71B","Capital Goods","Aerospace"
"632","EME","EMCOR Group, Inc.","72.51","$4.06B","Capital Goods","Engineering & Construction"
"633","EEX","Emerald Expositions Events, Inc.","12.52","$899.43M","Miscellaneous","Business Services"
"634","EMES","Emerge Energy Services LP","2.14","$66.42M","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)"
"635","EBS","Emergent Biosolutions, Inc.","59.51","$3.03B","Health Care","Major Pharmaceuticals"
"636","EMR","Emerson Electric Company","68.4","$42.04B","Energy","Consumer Electronics/Appliances"
"637","ESRT","Empire State Realty Trust, Inc.","15.21","$4.61B","Consumer Services","Real Estate Investment Trusts"
"638","EIG","Employers Holdings Inc","42.21","$1.38B","Finance","Property-Casualty Insurers"
"639","EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","26.5","$1.17B","Public Utilities","Electric Utilities: Central"
"640","ENBL","Enable Midstream Partners, LP","15.04","$6.52B","Public Utilities","Natural Gas Distribution"
"641","ENB","Enbridge Inc","37.25","$75.33B","Energy","Natural Gas Distribution"
"642","ECA","Encana Corporation","7.26","$10.86B","Energy","Oil & Gas Production"
"643","EHC","Encompass Health Corporation","63.77","$6.31B","Health Care","Hospital/Nursing Management"
"644","DAVA","Endava plc","30.1","$1.6B","Technology","EDP Services"
"645","EXK","Endeavour Silver Corporation","2.43","$317.8M","Basic Industries","Precious Metals"
"646","ENIA","Enel Americas S.A.","8.62","$10.06B","Public Utilities","Electric Utilities: Central"
"647","ENIC","Enel Chile S.A.","5.19","$7.28B","Public Utilities","Electric Utilities: Central"
"648","ENR","Energizer Holdings, Inc.","47.3","$3.31B","Miscellaneous","Industrial Machinery/Components"
"649","ET","Energy Transfer L.P.","14.98","$39.2B","Public Utilities","Natural Gas Distribution"
"650","ERF","Enerplus Corporation","8.73","$2.09B","Energy","Oil & Gas Production"
"651","ENS","Enersys","74.82","$3.22B","Consumer Non-Durables","Telecommunications Equipment"
"652","E","ENI S.p.A.","34.39","$62.49B","Energy","Oil & Gas Production"
"653","ENLC","EnLink Midstream, LLC","11.32","$5.51B","Public Utilities","Natural Gas Distribution"
"654","EBF","Ennis, Inc.","21.48","$561.15M","Consumer Services","Office Equipment/Supplies/Services"
"655","ENVA","Enova International, Inc.","25.38","$852.38M","Finance","Finance: Consumer Services"
"656","NPO","EnPro Industries","68.91","$1.43B","Basic Industries","Metal Fabrications"
"657","ESV","ENSCO plc","4.22","$1.85B","Energy","Oil & Gas Production"
"658","ETM","Entercom Communications Corp.","6.16","$877.95M","Consumer Services","Broadcasting"
"659","ETR","Entergy Corporation","93.25","$17.53B","Public Utilities","Electric Utilities: Central"
"660","EPD","Enterprise Products Partners L.P.","27.78","$60.63B","Public Utilities","Natural Gas Distribution"
"661","EVC","Entravision Communications Corporation","3.98","$353.65M","Consumer Services","Broadcasting"
"662","ENV","Envestnet, Inc","61.59","$2.96B","Miscellaneous","Business Services"
"663","EVA","Enviva Partners, LP","30.15","$798.33M","Basic Industries","Forest Products"
"664","ENZ","Enzo Biochem, Inc.","3.42","$161.4M","Health Care","Medical Specialities"
"665","EOG","EOG Resources, Inc.","96.42","$55.92B","Energy","Oil & Gas Production"
"666","EPE","EP Energy Corporation","0.61","$156.72M","Energy","Oil & Gas Production"
"667","EPAM","EPAM Systems, Inc.","163.55","$8.84B","Technology","EDP Services"
"668","EPR","EPR Properties","72.47","$5.39B","Consumer Services","Real Estate Investment Trusts"
"669","EQM","EQM Midstream Partners, LP","39.25","$4.73B","Public Utilities","Natural Gas Distribution"
"670","EQT","EQT Corporation","19.49","$4.97B","Energy","Oil & Gas Production"
"671","EFX","Equifax, Inc.","110.46","$13.33B","Finance","Finance: Consumer Services"
"672","EQNR","Equinor ASA","22.35","$74.46B","Energy","Integrated oil Companies"
"673","ETRN","Equitrans Midstream Corporation","18.06","$4.59B","Public Utilities","Natural Gas Distribution"
"674","EQC","Equity Commonwealth","32.7","$3.98B","Consumer Services","Real Estate Investment Trusts"
"675","ELS","Equity Lifestyle Properties, Inc.","109.36","$9.83B","Consumer Services","Real Estate Investment Trusts"
"676","EQR","Equity Residential","73.5","$27.19B","Consumer Services","Real Estate Investment Trusts"
"677","ERA","Era Group, Inc.","11.55","$251.35M","Transportation","Transportation Services"
"678","EROS","Eros International PLC","9.72","$699.38M","Consumer Services","Movies/Entertainment"
"679","ESE","ESCO Technologies Inc.","68.94","$1.79B","Consumer Durables","Telecommunications Equipment"
"680","ESNT","Essent Group Ltd.","43.69","$4.29B","Finance","Property-Casualty Insurers"
"681","EPRT","Essential Properties Realty Trust, Inc.","16.44","$719.24M","Consumer Services","Real Estate Investment Trusts"
"682","ESS","Essex Property Trust, Inc.","279.09","$18.33B","Consumer Services","Real Estate Investment Trusts"
"683","EL","Estee Lauder Companies, Inc. (The)","156.92","$56.67B","Consumer Non-Durables","Package Goods/Cosmetics"
"684","ESL","Esterline Technologies Corporation","122.03","$3.62B","Capital Goods","Industrial Machinery/Components"
"685","ETH","Ethan Allen Interiors Inc.","20.29","$539.3M","Consumer Durables","Home Furnishings"
"686","EURN","Euronav NV","8","$1.75B","Transportation","Marine Transportation"
"687","EB","Eventbrite, Inc.","30.63","$2.4B","Technology","Computer Software: Programming, Data Processing"
"688","EVR","Evercore Inc.","93.6","$3.79B","Finance","Investment Managers"
"689","RE","Everest Re Group, Ltd.","225.39","$9.16B","Finance","Property-Casualty Insurers"
"690","EVRG","Evergy, Inc.","55.03","$14.5B","Public Utilities","Power Generation"
"691","EVRI","Everi Holdings Inc.","7.85","$551.02M","Consumer Services","Services-Misc. Amusement & Recreation"
"692","ES","Eversource Energy","69.74","$22.1B","Public Utilities","Electric Utilities: Central"
"693","EVTC","Evertec, Inc.","28.5","$2.06B","Technology","EDP Services"
"694","EVH","Evolent Health, Inc","13.29","$1.09B","Consumer Services","Other Consumer Services"
"695","AQUA","Evoqua Water Technologies Corp.","13.91","$1.59B","Technology","Industrial Machinery/Components"
"696","XAN","Exantas Capital Corp.","10.82","$342.57M","Consumer Services","Real Estate Investment Trusts"
"697","EXC","Exelon Corporation","48.54","$47.07B","Public Utilities","Power Generation"
"698","EXPR","Express, Inc.","5.31","$363.89M","Consumer Services","Clothing/Shoe/Accessory Stores"
"699","EXTN","Exterran Corporation","17.24","$623.28M","Technology","Diversified Commercial Services"
"700","EXR","Extra Space Storage Inc","95.58","$12.15B","Consumer Services","Real Estate Investment Trusts"
"701","XOM","Exxon Mobil Corporation","80","$338.96B","Energy","Integrated oil Companies"
"702","FNB","F.N.B. Corporation","12.28","$3.98B","Finance","Major Banks"
"703","FN","Fabrinet","57.96","$2.14B","Public Utilities","Telecommunications Equipment"
"704","FDS","FactSet Research Systems Inc.","237.11","$9.02B","Technology","Computer Software: Programming, Data Processing"
"705","FICO","Fair Isaac Corporation","251.58","$7.31B","Miscellaneous","Business Services"
"706","SFUN","Fang Holdings Limited","1.53","$683.64M","Technology","EDP Services"
"707","FPAC","Far Point Acquisition Corporation","9.87","$774.13M","Finance","Business Services"
"708","FTCH","Farfetch Limited","28.82","$8.22B","Miscellaneous","Business Services"
"709","FPI","Farmland Partners Inc.","5.1","$189.96M","Consumer Services","Real Estate Investment Trusts"
"710","FBK","FB Financial Corporation","35.38","$1.09B","Finance","Major Banks"
"711","FFG","FBL Financial Group, Inc.","69.51","$1.72B","Finance","Life Insurance"
"712","AGM","Federal Agricultural Mortgage Corporation","82.16","$876.53M","Finance","Finance Companies"
"713","FRT","Federal Realty Investment Trust","132.46","$9.85B","Consumer Services","Real Estate Investment Trusts"
"714","FSS","Federal Signal Corporation","24.54","$1.48B","Capital Goods","Auto Manufacturing"
"715","FII","Federated Investors, Inc.","29.55","$2.97B","Finance","Investment Managers"
"716","FDX","FedEx Corporation","182.8","$47.72B","Transportation","Air Freight/Delivery Services"
"717","RACE","Ferrari N.V.","131.8","$32.21B","Capital Goods","Auto Manufacturing"
"718","FGP","Ferrellgas Partners, L.P.","1.5","$145.73M","Consumer Services","Other Specialty Stores"
"719","FOE","Ferro Corporation","19.63","$1.63B","Basic Industries","Paints/Coatings"
"720","FG","FGL Holdings","8.52","$1.89B","Finance","Life Insurance"
"721","FCAU","Fiat Chrysler Automobiles N.V.","14.76","$28.92B","Capital Goods","Auto Manufacturing"
"722","FNF","Fidelity National Financial, Inc.","35.37","$9.74B","Finance","Specialty Insurers"
"723","FIS","Fidelity National Information Services, Inc.","108.39","$35B","Miscellaneous","Business Services"
"724","FAF","First American Corporation (The)","50.67","$5.65B","Finance","Specialty Insurers"
"725","FBP","First BanCorp.","11.51","$2.5B","Finance","Major Banks"
"726","FCF","First Commonwealth Financial Corporation","14.01","$1.38B","Finance","Major Banks"
"727","FDC","First Data Corporation","25.78","$24.15B","Miscellaneous","Business Services"
"728","FHN","First Horizon National Corporation","15.55","$4.95B","Finance","Major Banks"
"729","FR","First Industrial Realty Trust, Inc.","33.63","$4.26B","Consumer Services","Real Estate Investment Trusts"
"730","AG","First Majestic Silver Corp.","6.35","$1.23B","Basic Industries","Precious Metals"
"731","FE","FirstEnergy Corp.","40.9","$21.68B","Public Utilities","Electric Utilities: Central"
"732","FIT","Fitbit, Inc.","6.14","$1.53B","Technology","Computer Manufacturing"
"733","FPH","Five Point Holdings, LLC","7.78","$517.59M","Finance","Real Estate"
"734","FBC","Flagstar Bancorp, Inc.","32.57","$1.88B","Finance","Savings Institutions"
"735","FLT","FleetCor Technologies, Inc.","233.33","$20.03B","Miscellaneous","Business Services"
"736","FND","Floor & Decor Holdings, Inc.","38.65","$3.77B","Consumer Services","RETAIL: Building Materials"
"737","FTK","Flotek Industries, Inc.","3.44","$196.21M","Basic Industries","Major Chemicals"
"738","FLO","Flowers Foods, Inc.","20.62","$4.35B","Consumer Non-Durables","Packaged Foods"
"739","FLS","Flowserve Corporation","45","$5.89B","Capital Goods","Fluid Controls"
"740","FLR","Fluor Corporation","37.44","$5.23B","Basic Industries","Military/Government/Technical"
"741","FMC","FMC Corporation","90.44","$12.18B","Basic Industries","Major Chemicals"
"742","FMX","Fomento Economico Mexicano S.A.B. de C.V.","90.28","$161.52B","Consumer Non-Durables","Beverages (Production/Distribution)"
"743","FL","Foot Locker, Inc.","63.07","$7.12B","Consumer Services","Clothing/Shoe/Accessory Stores"
"744","F","Ford Motor Company","8.79","$34.97B","Capital Goods","Auto Manufacturing"
"745","FELP","Foresight Energy LP","3.3","$481.14M","Energy","Coal Mining"
"746","FOR","Forestar Group Inc","17.12","$718.28M","Finance","Real Estate"
"747","FTS","Fortis Inc.","35.54","$15.23B","Public Utilities","Electric Utilities: Central"
"748","FTV","Fortive Corporation","82.56","$27.62B","Capital Goods","Industrial Machinery/Components"
"749","FSM","Fortuna Silver Mines Inc.","3.68","$588.58M","Basic Industries","Precious Metals"
"750","FBHS","Fortune Brands Home & Security, Inc.","47.56","$6.73B","Basic Industries","Homebuilding"
"751","FET","Forum Energy Technologies, Inc.","5.91","$645.18M","Energy","Metal Fabrications"
"752","FBM","Foundation Building Materials, Inc.","10.8","$463.27M","Consumer Services","RETAIL: Building Materials"
"753","FCPT","Four Corners Property Trust, Inc.","27.62","$1.89B","Consumer Services","Real Estate Investment Trusts"
"754","FEDU","Four Seasons Education (Cayman) Inc.","1.86","$92.88M","Consumer Services","Other Consumer Services"
"755","FNV","Franco-Nevada Corporation","74.45","$13.93B","Basic Industries","Precious Metals"
"756","FC","Franklin Covey Company","26.59","$370.38M","Consumer Services","Other Consumer Services"
"757","FSB","Franklin Financial Network, Inc.","33.28","$483.83M","Finance","Major Banks"
"758","BEN","Franklin Resources, Inc.","32.67","$16.65B","Finance","Investment Managers"
"759","FI","Frank&#39;s International N.V.","6.43","$1.44B","Energy","Oilfield Services/Equipment"
"760","FCX","Freeport-McMoran, Inc.","12.87","$18.65B","Basic Industries","Precious Metals"
"761","FMS","Fresenius Medical Care Corporation","39.12","$24.01B","Health Care","Hospital/Nursing Management"
"762","FDP","Fresh Del Monte Produce, Inc.","26.92","$1.31B","Consumer Non-Durables","Farming/Seeds/Milling"
"763","RESI","Front Yard Residential Corporation","10.94","$586.71M","Finance","Real Estate"
"764","FRO","Frontline Ltd.","6.57","$1.12B","Transportation","Marine Transportation"
"765","FCN","FTI Consulting, Inc.","75.3","$2.89B","Consumer Services","Professional Services"
"766","FTSI","FTS International, Inc.","10.3","$1.13B","Energy","Oilfield Services/Equipment"
"767","FF","FutureFuel Corp.","18.55","$811.44M","Basic Industries","Major Chemicals"
"768","GCAP","GAIN Capital Holdings, Inc.","7.05","$312.18M","Finance","Investment Bankers/Brokers/Service"
"769","GBL","Gamco Investors, Inc.","20.51","$594.42M","Finance","Investment Bankers/Brokers/Service"
"770","GME","Gamestop Corporation","11.75","$1.2B","Consumer Services","Electronics Distribution"
"771","GPS","Gap, Inc. (The)","29.51","$11.26B","Consumer Services","Clothing/Shoe/Accessory Stores"
"772","GDI","Gardner Denver Holdings, Inc.","27.34","$5.42B","Technology","Industrial Machinery/Components"
"773","GTX","Garrett Motion Inc.","16.78","$1.24B","Capital Goods","Auto Parts:O.E.M."
"774","IT","Gartner, Inc.","144.94","$13.17B","Consumer Services","Other Consumer Services"
"775","GLOG","GasLog LP.","15.88","$1.28B","Consumer Services","Marine Transportation"
"776","GLOP","GasLog Partners LP","21.88","$1.01B","Consumer Services","Marine Transportation"
"777","GTES","Gates Industrial Corporation plc","16.13","$4.68B","Technology","Industrial Machinery/Components"
"778","GATX","GATX Corporation","77.61","$2.92B","Consumer Services","Transportation Services"
"779","GZT","Gazit-Globe Ltd.","8.05","$1.51B","Finance","Real Estate"
"780","GCP","GCP Applied Technologies Inc.","30.18","$2.18B","Basic Industries","Major Chemicals"
"781","GNK","Genco Shipping & Trading Limited ","8.22","$342.32M","Transportation","Marine Transportation"
"782","GNRC","Generac Holdlings Inc.","52.5","$3.26B","Consumer Durables","Metal Fabrications"
"783","GD","General Dynamics Corporation","169.28","$48.79B","Capital Goods","Marine Transportation"
"784","GE","General Electric Company","10.27","$89.4B","Energy","Consumer Electronics/Appliances"
"785","GIS","General Mills, Inc.","47.22","$28.18B","Consumer Non-Durables","Packaged Foods"
"786","GM","General Motors Company","39.53","$55.72B","Capital Goods","Auto Manufacturing"
"787","GCO","Genesco Inc.","48.27","$974.69M","Consumer Services","Clothing/Shoe/Accessory Stores"
"788","GWR","Genesee & Wyoming, Inc.","81.97","$4.83B","Transportation","Railroads"
"789","GEL","Genesis Energy, L.P.","21.52","$2.64B","Energy","Oil Refining/Marketing"
"790","GEN","Genesis Healthcare, Inc.","1.32","$213.42M","Health Care","Hospital/Nursing Management"
"791","GNE","Genie Energy Ltd.","8.66","$229.27M","Public Utilities","Power Generation"
"792","G","Genpact Limited","33.54","$6.35B","Consumer Services","Professional Services"
"793","GPC","Genuine Parts Company","109.15","$16.02B","Capital Goods","Automotive Aftermarket"
"794","GNW","Genworth Financial Inc","3.84","$1.92B","Finance","Life Insurance"
"795","GEO","Geo Group Inc (The)","22.68","$2.76B","Consumer Services","Real Estate Investment Trusts"
"796","GPRK","Geopark Ltd","19.29","$1.17B","Energy","Oil & Gas Production"
"797","GGB","Gerdau S.A.","3.97","$6.76B","Capital Goods","Steel/Iron Ore"
"798","GTY","Getty Realty Corporation","33.19","$1.35B","Finance","Real Estate"
"799","GIG","GigCapital, Inc.","10.22","$188.68M","Finance","Business Services"
"800","GIL","Gildan Activewear, Inc.","35.95","$7.43B","Consumer Non-Durables","Apparel"
"801","GLT","Glatfelter","13.65","$597.63M","Basic Industries","Paper"
"802","GKOS","Glaukos Corporation","72.7","$2.62B","Health Care","Medical/Dental Instruments"
"803","GSK","GlaxoSmithKline PLC","40.39","$100.27B","Health Care","Major Pharmaceuticals"
"804","BRSS","Global Brass and Copper Holdings, Inc.","33.07","$734.13M","Capital Goods","Metal Fabrications"
"805","CO","Global Cord Blood Corporation","7.55","$917.71M","Finance","Business Services"
"806","GMRE","Global Medical REIT Inc.","10.15","$226.27M","Consumer Services","Real Estate Investment Trusts"
"807","GNL","Global Net Lease, Inc.","17.99","$1.3B","Consumer Services","Real Estate Investment Trusts"
"808","GLP","Global Partners LP","18.8","$639.12M","Energy","Oil Refining/Marketing"
"809","GPN","Global Payments Inc.","131.49","$20.72B","Miscellaneous","Business Services"
"810","GSL","Global Ship Lease, Inc.","0.8001","$63.26M","Transportation","Marine Transportation"
"811","GLOB","Globant S.A.","70.58","$2.53B","Technology","EDP Services"
"812","GMED","Globus Medical, Inc.","48.34","$4.77B","Health Care","Medical/Dental Instruments"
